# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6846
#@/user_id	4267ddf1-3dbe-4b05-ba14-7f437c90ceff
a 	啊	c=43 d=1.75151 t=6237
a shu 	阿叔	c=1 d=1 t=1778
a yi 	阿姨	c=1 d=1 t=5209
ai 	埃	c=1 d=1 t=3283
ai 	爱	c=1 d=1.00013 t=3282
ai ai 	矮矮	c=1 d=1 t=75
ai de gu shi 	爱的故事	c=1 d=1 t=5494
ai mei 	暧昧	c=1 d=1 t=398
ai shang 	爱上	c=1 d=1 t=4474
ai wo 	爱我	c=1 d=1 t=4271
ai xin 	爱心	c=1 d=1 t=6265
ai zheng 	癌症	c=1 d=1 t=1231
an 	安	c=2 d=1 t=5158
an 	按	c=3 d=1 t=6290
an jin 	按金	c=1 d=1 t=6495
an lao yuan 	安老院	c=1 d=1 t=1208
an niu 	按钮	c=1 d=1 t=1495
an quan 	安全	c=1 d=0.100058 t=6182
an quan di 	安全地	c=1 d=1 t=6183
an quan gan 	安全感	c=1 d=1 t=6796
an wei 	安慰	c=3 d=2.97516 t=6773
an xu 	按需	c=1 d=1 t=807
an zhi 	暗指	c=1 d=1 t=1399
ba 	吧	c=14 d=2.27035 t=6255
ba 	把	c=18 d=1.72493 t=6586
ba bi lun 	巴比伦	c=1 d=1 t=4978
ba ni 	把你	c=0 d=0.1 t=4973
ba ni zhua qi lai 	把你抓起来	c=1 d=1 t=4974
ba shi 	八十	c=1 d=1 t=691
ba shi 	巴士	c=1 d=1 t=6276
ba ta 	把他	c=1 d=1 t=6352
ba xi rou shu 	巴西柔术	c=1 d=1 t=274
bai 	摆	c=1 d=1 t=5646
bai 	白	c=1 d=1 t=6156
bai jin 	白金	c=1 d=1 t=3368
bai lan 	摆烂	c=1 d=1 t=4135
bai se 	白色	c=1 d=1 t=1118
bai tian 	白天	c=4 d=3.90817 t=2224
bai yue guang 	白月光	c=1 d=1 t=1726
ban 	办	c=1 d=1 t=458
ban 	半	c=0 d=0.1 t=5248
ban 	搬	c=1 d=1 t=5487
ban 	般	c=1 d=1 t=5231
